	support	itemsets	product	sup	rsup	confidence
146	0.15792287642852368	frozenset({'whole milk'})	1	2363.0	15.792287642852369	
90	0.12210118291786407	frozenset({'other vegetables'})	1	1827.0	12.210118291786406	
109	0.11000467820624206	frozenset({'rolls/buns'})	1	1646.0	11.000467820624205	
123	0.09710619528169484	frozenset({'soda'})	1	1453.0	9.710619528169484	
147	0.08587850030074183	frozenset({'yogurt'})	1	1285.0	8.587850030074183	
110	0.06957160997126245	frozenset({'root vegetables'})	1	1041.0	6.957160997126246	
139	0.0677671589921807	frozenset({'tropical fruit'})	1	1013.9999999999999	6.776715899218071	
10	0.06068301811134131	frozenset({'bottled water'})	1	908.0	6.068301811134131	
115	0.06034886052262247	frozenset({'sausage'})	1	903.0	6.034886052262247	
28	0.05313105660629553	frozenset({'citrus fruit'})	1	795.0	5.313105660629553	
93	0.0517275947336764	frozenset({'pastry'})	1	774.0	5.17275947336764	
97	0.049054334023925686	frozenset({'pip fruit'})	1	734.0	4.9054334023925685	
118	0.04758404063356279	frozenset({'shopping bags'})	1	712.0	4.758404063356279	
18	0.04691572545612511	frozenset({'canned beer'})	1	702.0	4.691572545612511	
9	0.04531176903027468	frozenset({'bottled beer'})	1	678.0	4.531176903027468	
143	0.043707812604424245	frozenset({'whipped/sour cream'})	1	654.0	4.370781260442424	
84	0.038895943326872955	frozenset({'newspapers'})	1	582.0	3.8895943326872953	
52	0.037759807525228894	frozenset({'frankfurter'})	1	565.0	3.7759807525228894	
12	0.03762614448974136	frozenset({'brown bread'})	1	563.0	3.7626144489741358	
99	0.037091492347791216	frozenset({'pork'})	1	555.0	3.7091492347791215	
45	0.037091492347791216	frozenset({'domestic eggs'})	1	555.0	3.7091492347791215	
13	0.03522020985096572	frozenset({'butter'})	1	527.0	3.522020985096572	
58	0.03401724253157789	frozenset({'fruit/vegetable juice'})	1	508.99999999999994	3.4017242531577887	
6	0.03395041101383412	frozenset({'beef'})	1	507.99999999999994	3.3950411013834123	
37	0.03368308494285905	frozenset({'curd'})	1	503.99999999999994	3.368308494285905	
77	0.03221279155249616	frozenset({'margarine'})	1	482.0	3.221279155249616	
32	0.03161130789280225	frozenset({'coffee'})	1	473.0	3.1611307892802247	
57	0.028002405934638777	frozenset({'frozen vegetables'})	1	419.0	2.8002405934638777	
25	0.027868742899151238	frozenset({'chicken'})	1	417.0	2.786874289915124	
144	0.023992514870012697	frozenset({'white bread'})	1	359.0	2.3992514870012696	
36	0.023658357281293858	frozenset({'cream cheese '})	1	354.0	2.365835728129386	
40	0.02359152576355009	frozenset({'dessert'})	1	353.0	2.359152576355009	
26	0.02359152576355009	frozenset({'chocolate'})	1	353.0	2.359152576355009	
83	0.022121232373187194	frozenset({'napkins'})	1	331.0	2.2121232373187194	
61	0.021853906302212123	frozenset({'hamburger meat'})	1	327.0	2.185390630221212	
7	0.021787074784468355	frozenset({'berries'})	1	326.0	2.1787074784468357	
1	0.021386085678005748	frozenset({'UHT-milk'})	1	320.0	2.1386085678005746	
88	0.02024994987636169	frozenset({'onions'})	1	303.0	2.0249949876361693	
113	0.018779656485998796	frozenset({'salty snack'})	1	281.0	1.8779656485998795	
142	0.018512330415023724	frozenset({'waffles'})	1	277.0	1.8512330415023723	
75	0.017910846755329814	frozenset({'long life bakery product'})	1	268.0	1.7910846755329815	
134	0.01771035220209851	frozenset({'sugar'})	1	265.0	1.771035220209851	
14	0.017576689166610975	frozenset({'butter milk'})	1	263.0	1.7576689166610975	
60	0.0171088685424046	frozenset({'ham'})	1	256.0	1.71088685424046	
79	0.016841542471429525	frozenset({'meat'})	1	251.99999999999997	1.6841542471429525	
55	0.016774710953685757	frozenset({'frozen meals'})	1	250.99999999999997	1.6774710953685756	
8	0.016574216400454454	frozenset({'beverages'})	1	248.0	1.6574216400454453	
130	0.015972732740760543	frozenset({'specialty chocolate'})	1	239.0	1.5972732740760542	
81	0.01577223818752924	frozenset({'misc. beverages'})	1	236.0	1.577223818752924	
66	0.015170754527835327	frozenset({'ice cream'})	1	227.0	1.5170754527835328	
87	0.014903428456860256	frozenset({'oil'})	1	223.0	1.4903428456860257	
625	0.014836596939116486	frozenset({'other vegetables', 'whole milk'})	2	222.0	1.4836596939116486	12.151067323481117
62	0.01470293390362895	frozenset({'hard cheese'})	1	220.0	1.4702933903628952	
59	0.01443560783265388	frozenset({'grapes'})	1	216.0	1.4435607832653878	
17	0.014368776314910112	frozenset({'candy'})	1	215.0	1.4368776314910112	
120	0.014034618726191272	frozenset({'sliced cheese'})	1	210.0	1.4034618726191272	
677	0.013967787208447505	frozenset({'rolls/buns', 'whole milk'})	2	209.0	1.3967787208447504	12.69744835965978
128	0.013967787208447505	frozenset({'specialty bar'})	1	209.0	1.3967787208447504	
65	0.013700461137472432	frozenset({'hygiene articles'})	1	205.0	1.370046113747243	
24	0.012029673193878232	frozenset({'chewing gum'})	1	180.0	1.2029673193878232	
22	0.011829178640646929	frozenset({'cat food'})	1	177.0	1.182917864064693	
145	0.011695515605159393	frozenset({'white wine'})	1	175.0	1.1695515605159392	
717	0.011628684087415625	frozenset({'soda', 'whole milk'})	2	174.0	1.1628684087415626	11.975223675154853
